Gnai2	9.164165	9.003252	9.964831	9.737935	9.804805
Gnai3	6.070338	6.11343	6.226137	6.078396	5.755104
Gnb2l1	10.8343	10.837791	11.562907	11.6369	9.648865
Gnl3	7.842184	7.637624	8.222635	7.833525	7.87822
Golga5	7.397611	7.230601	7.67495	7.875823	6.844767
Gp6	4.544497	4.407531	4.574786	4.540737	4.624533
Gps2	5.336518	5.460176	5.505241	5.524839	5.672053
Grap2	3.704757	3.660205	3.583408	3.60011	3.683349
Grb2	6.758413	7.060182	8.462579	8.3517	7.470425
Grem1	4.290017	4.30485	4.253547	4.22945	4.526203
Grin1	3.72186	3.69764	3.657928	3.617524	4.185595
Gsn	3.204065	3.099935	3.40842	3.317972	3.255398
Gtf2e2	5.979553	6.304893	6.583148	6.874041	5.926727
Gtpbp3	4.418485	4.573775	4.619247	4.705033	4.614169
Gtpbp4	6.896846	7.18936	7.106168	7.550887	6.367375
Guk1	6.7033	6.719434	6.711353	6.837064	6.063772
H2-K1	9.2633	10.785981	10.910805	10.841131	9.913075
H2-M10.1	6.383623	6.620763	6.476347	6.633442	6.716629
H2-M3	6.087923	6.289395	8.211986	8.584422	7.759458
H2-M9	3.651798	3.798279	3.876757	3.647293	3.784928
H2-Q1	6.306179	6.85028	7.528034	8.309185	7.365527
H2-Q10	11.361898	11.323461	10.936426	10.99569	10.1749
H2-Q8	5.236476	5.595302	6.068365	6.299913	6.13319
H2-T10	7.147044	7.421041	7.158349	7.134768	8.01347
H2-T23	9.651575	10.30094	11.313982	11.324393	10.166849
H2-T24	3.890275	3.977007	4.258322	4.147628	4.089178
H2afz	7.197115	7.128121	8.067435	8.216803	7.394021
Hcfc1	4.298022	4.461599	4.543086	4.713403	4.545798
Hcls1	4.305276	4.537429	6.515203	7.269835	5.285388
Hdac1	7.004765	7.117434	7.530602	7.917609	7.087204
Hdac2	4.742567	5.254874	5.794936	5.422884	4.851045
Hdac3	7.591234	7.463056	7.399883	7.52268	6.44941
Hdac5	6.291368	6.271994	5.675617	5.836708	5.713914
Hdac9	3.263977	3.117021	4.618915	4.19771	4.090572
Hmgb1	9.863568	10.087978	9.81518	9.766461	8.855207
Hmmr	3.862638	4.024321	4.394451	4.69554	4.298033
Hoxa1	3.590232	3.414684	3.593081	3.559874	3.857594
Hoxa10	3.013819	3.290199	2.796142	2.846687	3.115706
Hras1	6.149056	6.056475	6.077043	6.016394	5.938016
Hrasls	3.459929	3.463859	3.308497	3.262488	3.898738
Hspd1	11.210513	11.310895	11.087298	11.214528	10.226577
Hspe1	10.921765	10.98024	10.935767	10.870065	9.453597
Iars	5.933335	6.287112	6.453548	7.005522	6.062483
Idh1	11.459226	11.278619	10.529389	10.723572	9.669487
Igf1r	3.608733	3.556043	3.536205	3.295346	3.631389
Igf2	5.535786	5.830148	5.370459	5.101608	6.002591
Ighmbp2	5.017977	5.252035	4.823807	4.988744	5.370901
Il2	3.319985	3.243615	3.15577	3.125961	3.667696
Il9	5.688769	5.372461	5.370629	4.971399	5.83743
Imp3	7.837813	7.957007	7.730194	8.218489	6.679681
Imp4	4.532277	4.590975	4.43525	4.620782	4.433578
Impdh2	7.659415	7.567706	8.063914	8.245627	7.198563
Ins2	5.627051	5.608276	5.513463	5.38681	5.509188
Iqgap1	3.601597	3.520625	3.499291	3.469656	3.978076
Irs1	7.601042	7.338765	7.241082	7.663322	6.628071
Irs2	5.47628	5.383689	5.604362	5.418055	5.648096
Itga2	3.477641	3.48127	3.488714	3.478235	3.784372
Itga2b	6.018402	5.911034	5.844717	5.813819	5.896539
Itga4	3.689363	3.726243	3.717707	4.031281	3.981167
Itgal	4.918106	4.827389	6.263993	6.727424	5.698456
Itgam	3.662432	3.537246	4.106069	4.470067	3.819746
Itgb1	8.977363	9.094427	9.506681	9.75787	7.84537
Itgb2	5.521611	5.67107	9.528265	9.781635	8.517835
Itgb2l	5.061435	5.084366	4.971754	4.707514	5.072426
Itk	2.720429	2.681686	2.748833	2.647312	2.717928
Jak2	6.978699	7.194526	7.895998	7.607592	8.229362
Jak3	4.250607	4.182208	4.079651	3.830705	4.121975
Jam2	4.712828	5.085122	5.96732	6.091069	5.513352
Jam3	4.12571	3.972082	3.99296	3.92213	4.488247
Jun	5.572135	5.781187	7.308073	6.92787	6.657331
Junb	6.341145	6.248067	7.631313	8.280501	5.853779
Kars	6.933795	6.890888	7.664401	7.889634	6.059346
Kit	3.911588	3.692111	3.661843	3.614152	4.149636
Kpna2	8.640224	8.363864	9.150471	9.334761	8.590871
Kras	7.456091	7.239441	8.516107	8.708031	7.652171
Lars	6.964366	6.887053	7.401085	7.72503	6.709134
Lat	5.741638	5.60467	5.955722	6.352411	5.808313
Lat2	4.329736	4.311352	4.5325	4.495792	4.462992
Lats2	5.038894	5.154607	5.325545	5.002723	5.166171
Lck	6.197873	6.08189	6.1479	6.16328	6.300553
Lcp2	4.57976	4.485146	4.9802	5.323034	5.319995
Lmo7	4.12182	4.157198	4.135185	3.946834	4.129131
Lphn3	3.625423	3.492614	3.338494	3.195663	3.649292
Lrp2	3.678142	3.610098	3.347976	3.442696	3.806045
Lrpap1	5.634149	5.517902	5.352859	5.337512	5.310219
Lyn	7.619201	7.567459	9.041185	9.330536	8.107975
Magoh	7.931935	7.95951	8.407289	8.644232	6.894461
Map2k1	7.883206	7.972356	8.218475	8.181061	7.341226
Map2k2	7.692145	7.517223	7.457397	7.259659	7.925151
Map3k1	3.614575	4.055663	3.961474	4.285068	4.074204
Map3k3	4.869196	4.786963	4.831793	4.547814	5.07452
Map3k7ip2	6.99092	7.199694	7.481468	8.049496	6.306639
Map4k1	3.806927	3.710104	3.999296	4.254952	4.044771
Mapk1	8.019632	7.663915	7.637507	7.539914	6.908468
Mapk10	3.08488	3.085543	2.918377	2.801562	2.9865
Mapk11	4.113442	3.902497	3.973307	3.830927	4.216925
Mapk12	4.762778	4.816709	4.682304	4.764545	4.902519
Mapk13	4.38133	4.275226	4.155035	4.254085	4.467418
Mapk14	4.695105	4.814666	4.527344	4.579205	4.73974
Mapk3	7.113092	7.390749	7.364189	7.546266	6.937061
Mapk8	3.598902	3.817852	3.613627	3.525869	3.405213
Mapk9	5.710658	5.557934	5.480875	5.658857	5.239546
Mars	7.288481	7.205799	7.071068	7.402466	6.221778
Marveld2	5.703636	5.796032	5.888748	5.798044	5.141268
Matr3	4.327582	4.850988	4.605843	5.168202	4.149093
Max	4.037653	3.801586	3.889369	3.714324	3.700139
Mbd1	2.864188	2.778152	2.956389	3.639449	2.830519
Mbd3	5.249791	5.318295	5.483897	5.570705	4.624009
Mcm4	3.980429	4.551009	6.622986	6.656146	6.458958
Mcm7	6.500566	6.584329	8.182086	8.401618	7.665945
Mdk	4.525039	4.68262	4.520885	4.361577	4.642198
Mdm2	3.484042	3.344252	3.201648	3.123648	3.615586
Mecp2	5.437523	5.68748	5.478758	5.373664	5.347768
Men1	7.62623	7.417145	7.182295	6.829336	7.221281
Met	5.726068	6.166401	5.226861	6.267252	4.147076
Mettl1	4.027327	4.029941	4.039757	4.117332	3.854323
Mgmt	6.021417	6.117111	5.790805	5.96203	5.864528
Mlf1	3.137466	3.011672	3.061438	2.97835	3.170996
Mlh1	4.967642	4.933452	5.05332	4.950852	4.79885
Mllt1	6.104457	6.09901	5.928025	5.965696	6.117163
Mllt4	7.225012	7.178067	7.530597	7.330901	7.23026
Mos	3.93999	3.766616	3.809068	3.694637	3.921142
Mphosph10	4.006025	3.870527	3.740776	3.831778	4.069882
Mpp6	8.59505	8.463969	8.353682	8.488723	7.568828
Mpzl1	5.100675	5.245179	5.485232	5.684266	5.570225
Mras	4.515888	4.510894	4.398521	4.295295	4.866335
Mrpl23	8.491046	8.522684	8.459615	8.775594	7.379523
Mrpl3	4.061738	3.975971	4.005447	3.943133	4.153954
Mta1	3.944764	3.865083	3.97433	3.560676	4.134114
Mtvr2	6.078945	6.40829	6.649452	7.299199	6.240542
Mxd1	4.967951	4.962155	5.257902	5.296132	4.772229
Myb	2.799962	2.696515	2.818285	2.809962	3.014046
Mybbp1a	7.534646	7.257644	7.765757	7.760744	7.529667
Myc	4.984469	5.375428	5.856744	6.551521	5.214333
Mycn	5.930461	6.248091	5.957055	6.110509	6.013546
Myo15	4.962325	4.778204	4.702231	4.520247	5.02027
Myod1	2.704155	2.676211	2.542907	2.632925	2.853117
Naca	11.175874	11.186488	11.46099	11.437966	10.219227
Nanog	2.900736	2.87742	3.029301	2.753674	3.040835
Nap1l1	7.357104	7.52011	8.195524	8.134552	7.312003
Nars	10.317143	10.185896	10.391354	10.295615	9.909992
Nbn	6.607515	6.552024	6.694678	6.323997	5.916872
Ncam1	3.235208	3.449285	3.388319	3.437834	3.473507
Nck1	3.367135	3.455994	3.282575	3.395046	3.365357
Nck2	2.942515	2.973635	2.981529	3.13112	3.154185
Ncl	5.206126	5.077861	5.268741	5.223082	4.920982
Ncoa1	2.757405	2.836418	2.864506	2.788599	2.894467
Ncoa2	5.336279	5.382975	5.107924	5.198401	5.179028
Ncoa3	3.751282	3.735725	3.711497	3.762721	4.040009
Ncoa4	9.289168	9.619671	9.824384	10.139159	7.283595
Ncoa6	6.832343	6.992669	6.992389	7.199421	6.778058
Ncor1	3.011832	3.111544	2.819256	3.066437	3.001279
Ncor2	5.262784	5.083106	4.922599	4.870619	4.947293
Ncr1	3.843209	4.093435	4.016352	3.864441	4.112492
Net1	5.071539	5.034758	5.37438	6.137995	4.241871
Nf1	3.153419	3.026774	3.212593	3.041771	3.186232
Nmd3	6.597906	6.776672	6.7527	6.882293	5.471868
Noc4l	5.397516	5.156079	5.880263	5.914459	5.697233
Nol10	4.436851	4.171777	4.690557	4.510458	4.376069
Nolc1	4.96787	4.843251	5.175223	5.116724	4.85068
Nos1	3.595791	3.350302	3.436526	3.286724	3.355342
Npm1	8.654132	8.813677	9.417352	9.47828	7.665494
Npm3	5.174486	4.92277	5.161368	4.629906	4.680889
Nr0b2	7.812205	7.615528	7.273468	7.186044	6.818828
Nr1h2	6.9405	6.965235	7.048026	7.177104	6.674634
Nr1h3	7.09123	7.087163	7.888643	7.949109	6.285417
Nr1h4	9.04342	9.408444	8.593349	8.314869	7.957272
Nr1i3	4.007595	4.206499	4.186481	4.141478	4.232611
Nr2c1	3.631106	3.40694	3.503109	3.388344	3.382976
Nr3c1	8.417957	8.643776	8.055525	8.35752	6.831619
Nr6a1	3.588591	3.488927	3.28447	3.287567	3.556429
Nras	6.262583	6.069376	7.188814	7.414125	5.900021
Nrip1	5.893755	6.212342	5.977197	6.775465	6.573638
Nsun2	7.872611	8.121768	8.062781	8.244837	7.014894
Ntrk1	3.80378	3.690079	3.700615	3.526566	3.824314
Numa1	3.908007	3.980022	3.862352	3.858971	4.150357
Nup88	3.424022	3.438841	3.232082	3.3756	3.505112
Nup98	3.013955	3.129408	3.063882	3.880001	2.904396
P2ry12	4.000065	3.853716	4.869765	5.180128	4.806674
P4hb	3.661778	3.859708	3.901709	4.260545	3.847259
Pa2g4	4.748917	4.496121	4.400841	4.159309	4.76083
Pag1	3.195319	3.194587	3.115164	3.177594	3.48828
Pak1	3.844519	3.470635	3.482409	3.281867	3.72111
Pak2	6.109833	6.108836	6.766546	6.926722	6.310676
Pak4	7.043388	6.87586	6.969141	6.676824	6.869013
Pard6a	4.672791	4.391698	4.64135	4.495957	4.115953
Parp2	6.596918	6.562992	6.897097	6.701661	6.852271
Pax8	3.794751	3.897763	3.703125	3.582407	4.345605
Pcna	2.631766	2.586477	2.670147	2.655753	2.555968
Pcp4	4.04519	3.962645	3.946343	3.813297	3.902144
Pdcd2	7.476586	7.465898	7.183513	7.08122	6.36431
Pdgfb	4.813351	4.906772	5.466523	5.705085	5.077951
Pdgfra	3.114708	2.972123	3.126294	3.135044	3.016654
Pdgfrb	3.64922	3.94418	4.399656	4.92279	4.945725
Pdia3	5.885187	5.869687	5.866696	5.662868	5.818878
Pdia5	9.232214	9.216375	9.470974	9.37662	7.969794
Pes1	3.568134	3.610343	3.816629	3.706444	3.658858
Pfn1	9.076505	8.998669	9.954307	10.327109	6.844908
Pfn2	5.952691	5.628971	5.65043	5.580549	5.449855
